typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,customsCode,customsDesc,motDesc,qty,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,4731037762,,4731037762,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,24,Tobacco and manufactured tobacco substitutes,2,C00,TOTAL CPC,TOTAL MOT,,,,,2221677527,,2221677527,0,True
C,A,20130101,2013,52,2013,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2,C00,TOTAL CPC,TOTAL MOT,,,,,3256414816,,3256414816,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,5,Animal originated products; not elsewhere specified or included,2,C00,TOTAL CPC,TOTAL MOT,,,,,1119842183,,1119842183,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2,C00,TOTAL CPC,TOTAL MOT,,,,,2603317575,,2603317575,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,10,Cereals,2,C00,TOTAL CPC,TOTAL MOT,,,,,3458934816,,3458934816,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,C00,TOTAL CPC,TOTAL MOT,,,,,16689404544,,16689404544,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,7,Vegetables and certain roots and tubers; edible,2,C00,TOTAL CPC,TOTAL MOT,,,,,8953995119,,8953995119,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,C00,TOTAL CPC,TOTAL MOT,,,,,1967405650,,1967405650,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,8,"Fruit and nuts, edible; peel of citrus fruit or melons",2,C00,TOTAL CPC,TOTAL MOT,,,,,13969901027,,13969901027,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,17,Sugars and sugar confectionery,2,C00,TOTAL CPC,TOTAL MOT,,,,,4148549504,,4148549504,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,9,"Coffee, tea, mate and spices",2,C00,TOTAL CPC,TOTAL MOT,,,,,7881467614,,7881467614,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,2,Meat and edible meat offal,2,C00,TOTAL CPC,TOTAL MOT,,,,,8433931340,,8433931340,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,1,Animals; live,2,C00,TOTAL CPC,TOTAL MOT,,,,,3572881876,,3572881876,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,13,"Lac; gums, resins and other vegetable saps and extracts",2,C00,TOTAL CPC,TOTAL MOT,,,,,2302560157,,2302560157,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,2,C00,TOTAL CPC,TOTAL MOT,,,,,99264361,,99264361,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2,C00,TOTAL CPC,TOTAL MOT,,,,,6154633665,,6154633665,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,5113541071,,5113541071,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,18,Cocoa and cocoa preparations,2,C00,TOTAL CPC,TOTAL MOT,,,,,4851676879,,4851676879,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",2,C00,TOTAL CPC,TOTAL MOT,,,,,5888333309,,5888333309,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,C00,TOTAL CPC,TOTAL MOT,,,,,1635598103,,1635598103,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",2,C00,TOTAL CPC,TOTAL MOT,,,,,3730604557,,3730604557,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,21,Miscellaneous edible preparations,2,C00,TOTAL CPC,TOTAL MOT,,,,,4339797909,,4339797909,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,22,"Beverages, spirits and vinegar",2,C00,TOTAL CPC,TOTAL MOT,,,,,21206259579,,21206259579,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,23,"Food industries, residues and wastes thereof; prepared animal fodder",2,C00,TOTAL CPC,TOTAL MOT,,,,,3123665732,,3123665732,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,24,Tobacco and manufactured tobacco substitutes,2,C00,TOTAL CPC,TOTAL MOT,,,,,2096576835,,2096576835,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",2,C00,TOTAL CPC,TOTAL MOT,,,,,3628148737,,3628148737,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,20,"Preparations of vegetables, fruit, nuts or other parts of plants",2,C00,TOTAL CPC,TOTAL MOT,,,,,7432227470,,7432227470,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,C00,TOTAL CPC,TOTAL MOT,,,,,2011797476,,2011797476,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,5,Animal originated products; not elsewhere specified or included,2,C00,TOTAL CPC,TOTAL MOT,,,,,1074051186,,1074051186,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2,C00,TOTAL CPC,TOTAL MOT,,,,,2820284122,,2820284122,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,C00,TOTAL CPC,TOTAL MOT,,,,,15498425775,,15498425775,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,2,Meat and edible meat offal,2,C00,TOTAL CPC,TOTAL MOT,,,,,9361155651,,9361155651,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,1,Animals; live,2,C00,TOTAL CPC,TOTAL MOT,,,,,3323896980,,3323896980,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,7,Vegetables and certain roots and tubers; edible,2,C00,TOTAL CPC,TOTAL MOT,,,,,9283668503,,9283668503,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,8,"Fruit and nuts, edible; peel of citrus fruit or melons",2,C00,TOTAL CPC,TOTAL MOT,,,,,15428068585,,15428068585,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,9,"Coffee, tea, mate and spices",2,C00,TOTAL CPC,TOTAL MOT,,,,,8176661496,,8176661496,0,True
