typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerISO,partnerDesc,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,customsCode,customsDesc,motDesc,qty,altQty,netWgt,grossWgt,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,,,,,39099512733,,39099512733,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,70,Glass and glassware,2,C00,TOTAL CPC,TOTAL MOT,,,,,7446791516,,7446791516,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,72,Iron and steel,2,C00,TOTAL CPC,TOTAL MOT,,,,,36000221552,,36000221552,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,331205458062,,331205458062,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,C00,TOTAL CPC,TOTAL MOT,,,,,319671074894,,319671074894,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,265323956439,,265323956439,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2,C00,TOTAL CPC,TOTAL MOT,,,,,76226166242,,76226166242,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",2,C00,TOTAL CPC,TOTAL MOT,,,,,55782890791,,55782890791,0,True
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,96,Miscellaneous manufactured articles,2,C00,TOTAL CPC,TOTAL MOT,,,,,5836808725,,5836808725,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2,C00,TOTAL CPC,TOTAL MOT,,,,,200696083561,,200696083561,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,C00,TOTAL CPC,TOTAL MOT,,,,,13156702852,,13156702852,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,39,Plastics and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,,,,,50244766191,,50244766191,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,40,Rubber and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,,,,,27913488880,,27913488880,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",2,C00,TOTAL CPC,TOTAL MOT,,,,,16676531943,,16676531943,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,61,Apparel and clothing accessories; knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,,,,,48514527157,,48514527157,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,62,Apparel and clothing accessories; not knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,,,,,40574495214,,40574495214,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,70,Glass and glassware,2,C00,TOTAL CPC,TOTAL MOT,,,,,7878608912,,7878608912,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,72,Iron and steel,2,C00,TOTAL CPC,TOTAL MOT,,,,,27865815733,,27865815733,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,330044570117,,330044570117,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,C00,TOTAL CPC,TOTAL MOT,,,,,333525810290,,333525810290,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2,C00,TOTAL CPC,TOTAL MOT,,,,,284383662404,,284383662404,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2,C00,TOTAL CPC,TOTAL MOT,,,,,78504727244,,78504727244,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",2,C00,TOTAL CPC,TOTAL MOT,,,,,61163743268,,61163743268,0,True
C,A,20150101,2015,52,2015,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,96,Miscellaneous manufactured articles,2,C00,TOTAL CPC,TOTAL MOT,,,,,6331809326,,6331809326,0,True
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,163138185187,,163138185187,4,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,11761556878,,11761556878,4,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,39,Plastics and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,50376129740,,50376129740,4,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,40,Rubber and articles thereof,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,26164158244,,26164158244,4,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,16236525276,,16236525276,4,False
C,A,20160101,2016,52,2016,842,USA,USA,M,Import,W00,World,W00,World,H4,HS,True,61,Apparel and clothing accessories; knitted or crocheted,2,C00,TOTAL CPC,TOTAL MOT,0.0,0.0,0.0,0.0,45417624169,,45417624169,4,False
